Protein_A	Protein_B	Rank_A_in_B	Rank_B_in_A	Score_A_in_B	Score_B_in_A	NaRRO	ARRO	NoRRO_A	NoRRO_B	NoRRO	Rank_LocalCutoff_A_elbow	Rank_LocalCutoff_B_elbow	Score_LocalCutoff_A_elbow	Score_LocalCutoff_B_elbow	Rank_LocalCutoff_A_knee	Rank_LocalCutoff_B_knee	Score_LocalCutoff_A_knee	Score_LocalCutoff_B_knee	Rank_AB_AboveLocal_A_elbow	Rank_BA_AboveLocal_B_elbow	Rank_AB_AboveLocal_A_knee	Rank_BA_AboveLocal_B_knee	Above_Global_Mean	Above_Global_Median	FD_A_elbow	FD_B_elbow	FD_A_knee	FD_B_knee	label
P00350	P00350	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	1397	1397	0.959595	0.959595	2930	2930	0.017541	0.017541	1	1	1	1	1	1	0.0421063052641999	0.0421063052641999	56.009292514679885	56.009292514679885	1
P08722	P0A8A8	4010	4302	0.0	0.0	5.7939666613999513e-08	1.1411706350413424	1.106457242582897	1.0313734603764817	1.1411706350413424	986	1138	0.994491	0.1219069999999999	2515	4437	0.014815	0.0	0	0	0	1	0	0	-1.0	-1.0	-1.0	0.0	1
P09152	P04825	2054	2351	0.069631	0.069631	2.068954102322194e-07	4.074979724249798	2.159610705596107	1.8869047619047616	4.074979724249797	1029	898	0.984448	0.990463	2613	2372	0.022496	0.009442	0	0	1	1	0	1	-0.92926899135353	-0.9296985349276046	2.0952613798008533	6.374602838381699	1
P09152	P0AF26	1741	2050	0.24154	0.24154	2.798892310379245e-07	5.512654631802917	2.5476463834672787	2.1638225255972694	5.512654631802916	1029	905	0.984448	0.998845	2613	2303	0.022496	0.0053799999999999	0	0	1	1	0	1	-0.7546442270185931	-0.7581806987070067	9.737019914651494	43.89591078066916	1
P09152	P19318	2945	3388	0.000371	0.000371	1.0016031660275436e-07	1.97274197079846	1.506449422946368	1.3095308350545884	1.97274197079846	1029	949	0.984448	0.996582	2613	2422	0.022496	0.007943	0	0	0	0	0	0	-0.99962313905864	-0.999627727572844	-0.9835081792318634	-0.9532922069746947	1
P09153	P09147	2092	1706	0.379815	0.379815	2.7989635997582816e-07	5.512795042251755	2.120401337792642	2.5998828353837142	5.512795042251755	885	1216	0.992194	0.979818	2360	2774	0.021187	0.024212	0	0	1	1	1	1	-0.6171968385214988	-0.6123616834963228	16.926794732619058	14.687056005286632	1
P09153	P0AAN5	3554	3447	3.6e-05	3.6e-05	8.158177267402209e-08	1.6068218678310018	1.2483825597749647	1.287122969837587	1.6068218678310016	885	1030	0.992194	0.98585	2360	2585	0.021187	0.0131539999999999	0	0	0	0	0	0	-0.999963716773131	-0.9999634832885328	-0.9983008448576955	-0.9972631899042116	1
P09153	P0ABB0	3389	3381	6.7e-05	6.7e-05	8.722213209268572e-08	1.7179135070449314	1.3091445427728614	1.31224127735068	1.7179135070449316	885	990	0.992194	0.991081	2360	2508	0.021187	0.01226	0	0	0	0	0	0	-0.9999324728833272	-0.9999323970492824	-0.996837683485156	-0.9945350734094616	1
P09153	P0AFB5	1647	1552	0.5988100000000001	0.5988100000000001	3.907251233128489e-07	7.695661075650636	2.692961165048544	2.8576947842884737	7.695661075650634	885	965	0.992194	0.995398	2360	2469	0.021187	0.01104	0	0	1	1	1	1	-0.396478914405852	-0.3984215359082497	27.263085854533443	53.240036231884055	1
P09153	P39325	1442	1364	0.8089569999999999	0.8089569999999999	5.076928153851231e-07	9.999438491746185	3.0755370755370754	3.251282051282052	9.999438491746185	885	934	0.992194	0.992579	2360	2430	0.021187	0.0155449999999999	0	0	1	1	1	1	-0.1846786011606602	-0.1849948467577897	37.1817624014726	51.03969121904149	1
P09153	P68567	4302	4137	0.0	0.0	5.6161431316759794e-08	1.1061467900316155	1.0313734603764817	1.0724987916868052	1.106146790031615	885	840	0.992194	0.99269	2360	2250	0.021187	0.017783	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	1
P09153	P68688	4353	4392	0.0	0.0	5.2281780813652994e-08	1.0297337989479023	1.0192926045016075	1.010243569314819	1.0297337989479023	885	928	0.992194	0.992739	2360	2445	0.021187	0.019818	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	1
P09153	P77585	1969	2052	0.090272	0.090272	2.472548529946272e-07	4.869893012825109	2.2527918781725886	2.161714564052606	4.869893012825108	885	836	0.992194	0.98279	2360	2273	0.021187	0.01073	0	0	1	1	0	1	-0.9090177928913096	-0.9081472135451112	3.260725916835796	7.413047530288909	1
P09184	P06136	4225	3982	0.0	0.0	5.9410088712332675e-08	1.170131839304265	1.050165641268339	1.1142355008787346	1.170131839304265	778	867	0.994563	0.991023	2095	2307	0.011454	0.014231	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	1
P09373	P76180	1951	4025	0.110645	0.110645	1.272466671552939e-07	2.506230505810592	2.273565573770492	1.102334823646299	2.506230505810592	3246	873	0.986401	0.989473	4264	2325	0.000871	0.015798	0	0	1	1	0	1	-0.8878295946577508	-0.8881778482080865	126.03214695752008	6.003734649955692	1
P09377	P77396	189	76	0.999999	0.999999	6.83526999316473e-05	1346.2641148325358	23.357894736842105	57.63636363636364	1346.264114832536	984	1086	0.963409	0.992299	2629	2610	0.016565	0.00655	1	1	1	1	1	1	0.03797971578011	0.0077597578955537	59.36818593419861	151.67160305343512	1
P09378	P00579	256	549	0.999568	0.999568	7.074637424831977e-06	139.34095507605238	17.268482490272373	8.069090909090908	139.34095507605232	843	713	0.992829	0.980807	2234	2180	0.011504	0.05172	1	1	1	1	1	1	0.0067876744132171	0.0191281261247116	85.88873435326843	18.32652745552977	1
P09378	P0A7C2	1326	1427	0.6792	0.6792	5.277167385416865e-07	10.393826558505843	3.3443858327053504	3.107843137254902	10.393826558505843	843	782	0.992829	0.990217	2234	2148	0.011504	0.018453	0	0	1	1	1	1	-0.3158942778665812	-0.314089739925693	58.0403337969402	35.807023248252314	1
P09378	P17410	1682	1167	0.927857	0.927857	5.0871324038125e-07	10.019536623283605	2.6369578134284017	3.799657534246576	10.019536623283605	843	1470	0.992829	0.972194	2234	2962	0.011504	0.014305	0	0	1	1	1	1	-0.0654412794146828	-0.0456050952793373	79.65516342141864	63.86242572527088	1
P09980	P09980	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	836	836	0.970299	0.970299	2452	2452	0.048898	0.048898	1	1	1	1	1	1	0.0306101521283645	0.0306101521283645	19.45073418135711	19.45073418135711	1
P0A6E6	P0A6E6	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	866	866	0.987031	0.987031	2334	2334	0.020665	0.020665	1	1	1	1	1	1	0.0131394049427019	0.0131394049427019	47.39099927413501	47.39099927413501	1
P09147	P09147	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	1216	1216	0.979818	0.979818	2774	2774	0.024212	0.024212	1	1	1	1	1	1	0.0205977028386903	0.0205977028386903	40.301833801420784	40.301833801420784	1
P08622	Q46948	1039	1950	0.682457	0.682457	4.928439064779403e-07	9.7069766983401	4.267307692307692	2.274730907227063	9.7069766983401	1377	498	0.956773	0.977173	2894	1928	0.015025	0.035511	0	0	1	1	1	1	-0.2867095956930223	-0.3016006377581042	44.4214309484193	18.218185914223763	1
P0A6E6	P0ABB0	668	502	0.999287	0.999287	2.9717063835224824e-06	58.53026534366299	6.633781763826607	8.823061630218687	58.53026534366298	866	990	0.987031	0.991081	2334	2508	0.020665	0.01226	1	1	1	1	1	1	0.0124170365469778	0.0082798479639908	47.35649649165256	80.50791190864601	1
P08390	P0ADK6	1475	1866	0.689557	0.689557	3.628852571332355e-07	7.147331414396095	3.0067750677506777	2.377075522228173	7.147331414396093	1277	879	0.979432	0.998148	4040	2259	6.4e-05	0.003643	0	0	1	1	1	1	-0.2959623536907105	-0.3091635709333685	10773.328125	188.28273401043097	1
P07026	P0AF12	880	357	0.940373	0.940373	3.170597150267281e-06	62.44758685850892	5.037457434733257	12.396648044692736	62.44758685850893	191	773	0.996549	0.964503	1381	2263	0.084637	0.023532	0	0	1	1	1	1	-0.0563705347153026	-0.0250180662994311	10.11066082209908	38.961456739758624	1
P07118	P07118	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	1031	1031	0.976273	0.976273	2634	2634	0.0252009999999999	0.0252009999999999	1	1	1	1	1	1	0.0243036527692561	0.0243036527692561	38.68096504106981	38.68096504106981	1
P07364	P39280	1011	1072	0.952664	0.952664	9.209154636440992e-07	18.138207309121853	4.3853754940711465	4.136067101584343	18.138207309121853	842	811	0.992198	0.986526	2274	2216	0.018404	0.020788	0	0	1	1	1	1	-0.0398448696731901	-0.0343244881533786	50.76396435557487	44.82759284202424	1
P07395	P07395	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	3095	3095	0.967761	0.967761	4208	4208	0.000133	0.000133	1	1	1	1	1	1	0.033312977067685	0.033312977067685	7517.796992481202	7517.796992481202	1
P07639	P07639	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	733	733	0.986095	0.986095	2112	2112	0.024682	0.024682	1	1	1	1	1	1	0.0141010754541904	0.0141010754541904	39.51535531966616	39.51535531966616	1
P07639	P33014	3605	3882	1e-06	1e-06	7.141786895078152e-08	1.4066352056670364	1.230726566833056	1.1429307236672674	1.4066352056670364	733	842	0.986095	0.99632	2112	2233	0.024682	0.01409	0	0	0	0	0	0	-0.9999989858989246	-0.9999989963064077	-0.9999594846446804	-0.9999290276792052	1
P07639	P68646	3991	4195	0.0	0.0	5.969995281315729e-08	1.1758409574153073	1.1117234468937875	1.05767397521449	1.1758409574153077	733	1159	0.986095	0.992498	2112	4054	0.024682	0.0	0	0	0	1	0	0	-1.0	-1.0	-1.0	0.0	1
P07813	P33129	3007	2673	0.001058	0.001058	1.2432565763299862e-07	2.44869875793695	1.475398936170213	1.6596858638743457	2.44869875793695	804	924	0.982305	0.976501	2218	2481	0.016942	0.0208509999999999	0	0	0	0	0	0	-0.998922941448939	-0.9989165397680084	-0.9375516467949476	-0.9492590283439644	1
P07813	Q46948	2248	2308	0.010465	0.010465	1.9256910486755e-07	3.792811048690905	1.973321476211649	1.9220441749675183	3.7928110486909055	804	498	0.982305	0.977173	2218	1928	0.016942	0.035511	0	0	0	0	0	0	-0.9893464860710268	-0.9892905350434366	-0.3823043324282846	-0.7053025822984427	1
P07821	P75957	1201	1647	0.802315	0.802315	5.048220603201783e-07	9.942896547824825	3.692179700499168	2.692961165048544	9.942896547824825	1191	752	0.960529	0.988528	2806	2123	0.029105	0.020433	0	0	1	1	1	1	-0.1647154849046724	-0.188374026835861	26.56622573440989	38.26564870552537	1
P08142	P08142	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	1097	1097	0.995995	0.995995	2615	2615	0.005141	0.005141	1	1	1	1	1	1	0.004021104523617	0.004021104523617	193.5146858587824	193.5146858587824	1
P08142	P0ADG1	2905	3134	0.000139	0.000139	1.0976574891524001e-07	2.161929067177736	1.5271851342050928	1.415629984051037	2.161929067177736	1097	640	0.995995	0.990258	2615	1976	0.005141	0.016986	0	0	0	0	0	0	-0.9998604410664712	-0.9998596325402068	-0.9729624586656292	-0.9918167902978924	1
P08179	P08179	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	523	523	0.99101	0.99101	1927	1927	0.016344	0.016344	1	1	1	1	1	1	0.0090715532638418	0.0090715532638418	60.18453255017131	60.18453255017131	1
P08312	P08312	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	279	279	0.979038	0.979038	1806	1806	0.033272	0.033272	1	1	1	1	1	1	0.0214108134720001	0.0214108134720001	29.05530175522962	29.05530175522962	1
P08312	Q46948	3733	3230	1.5e-05	1.5e-05	8.288744034798137e-08	1.6325380946531465	1.1885377611140866	1.3735685546270506	1.6325380946531467	279	498	0.979038	0.977173	1806	1928	0.033272	0.035511	0	0	0	0	0	0	-0.999984678837798	-0.9999846495963356	-0.9995491704736716	-0.9995775956745796	1
P08337	P08337	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	265	265	0.996393	0.996393	1533	1533	0.0309319999999999	0.0309319999999999	1	1	1	1	1	1	0.003620057547574	0.003620057547574	31.328979697400754	31.328979697400754	1
P08368	P08368	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	909	909	0.985232	0.985232	2387	2387	0.0145169999999999	0.0145169999999999	1	1	1	1	1	1	0.0149893629114766	0.0149893629114766	67.88475580354068	67.88475580354068	1
P08368	P08401	3848	3888	1e-06	1e-06	6.680579641828739e-08	1.3157965445503472	1.153026760197454	1.1411673952172794	1.3157965445503472	909	503	0.985232	0.974625	2387	1954	0.0145169999999999	0.030372	0	0	0	0	0	0	-0.9999989850106372	-0.9999989739643452	-0.9999311152441964	-0.9999670749374424	1
P08373	P68646	2116	1881	0.149365	0.149365	2.509917940742845e-07	4.9434952213672325	2.096362777515352	2.3581296493092454	4.943495221367233	846	1159	0.986636	0.992498	2288	4054	0.021137	0.0	0	0	1	1	0	1	-0.8486118487466503	-0.8495059939667385	6.066518427402186	0.0	1
P0A6E6	P0ABA6	3402	3583	3.6e-05	3.6e-05	8.199172998614668e-08	1.614896323097267	1.304143402879812	1.23828125	1.6148963230972673	866	791	0.987031	0.984708	2334	2183	0.020665	0.019771	0	0	0	0	0	0	-0.999963526981422	-0.9999634409388366	-0.9982579240261312	-0.9981791512821808	1
P0A6E9	P19624	1042	977	0.962242	0.962242	9.803402564962248e-07	19.308628758869627	4.255033557046979	4.5378323108384455	19.308628758869624	802	815	0.988272	0.991534	2189	2181	0.0215479999999999	0.012147	0	0	1	1	1	1	-0.0263389026502824	-0.0295421034477889	43.65574531279005	78.21643204083313	1
P07014	P0ACM9	1959	2685	0.035739	0.035739	1.899493974805112e-07	3.7412137006701416	2.2642857142857142	1.6522710349962768	3.741213700670141	924	656	0.972863	0.977661	2483	2057	0.0514279999999999	0.020416	0	0	0	1	0	1	-0.9632640978226122	-0.963444384096328	-0.3050672785253169	0.7505387931034483	1
P0A749	P0ABW5	3828	1767	0.002928	0.002928	1.4771764422264476e-07	2.9094236766567123	1.1590493601462524	2.510180995475113	2.9094236766567128	346	61	0.999749	0.999791	1659	1368	0.006634	0.197419	0	0	0	0	0	0	-0.9970712648874868	-0.9970713879200752	-0.5586373228821224	-0.9851686007932368	1
P0A7C2	P0A7C2	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	782	782	0.990217	0.990217	2148	2148	0.018453	0.018453	1	1	1	1	1	1	0.0098796526417946	0.0098796526417946	53.19173034194981	53.19173034194981	1
P0A7I4	P37182	3049	3641	7.000000000000001e-06	7.000000000000001e-06	9.002439661148172e-08	1.7731064718538725	1.4550819672131148	1.2185612300933553	1.7731064718538725	1064	301	0.986138	0.998186	2639	1609	0.0138009999999999	0.016063	0	0	0	0	0	0	-0.999992901602007	-0.999992987278924	-0.9994927903775088	-0.9995642158998942	1
P0A7J0	P0A7J0	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	1660	1660	0.977573	0.977573	3210	3210	0.010381	0.010381	1	1	1	1	1	1	0.0229415092274439	0.0229415092274439	95.32983334938832	95.32983334938832	1
P0A7K2	Q46948	211	1091	0.998017	0.998017	4.319579791277904e-06	85.07776971456218	20.933962264150946	4.064102564102564	85.07776971456217	1380	498	0.991371	0.977173	4102	1928	0.0	0.035511	1	1	1	1	1	1	0.0067038475000783	0.0213309209321175	0.0	27.10444650953226	1
P0A7L8	P37680	572	3302	0.768357	0.768357	5.283683615138599e-07	10.40666082291259	7.745200698080279	1.3436270057523465	10.406660822912588	2803	198	0.943263	0.981699	4151	1622	0.003561	0.09254	0	0	1	1	1	1	-0.1854265459368172	-0.2173191579088906	214.7700084245998	7.302971687918738	1
P0A7L8	Q46948	97	677	0.999927	0.999927	1.5050267894768526e-05	296.4277286135693	45.285714285714285	6.545722713864306	296.4277286135693	2803	498	0.943263	0.977173	4151	1928	0.003561	0.035511	1	1	1	1	1	1	0.0600723234135125	0.0232855389987239	279.79949452401013	27.15823266030244	1
P0A7M9	P0AEI4	2840	1976	0.029715	0.029715	1.7804184944888038e-07	3.5066844922166336	1.562126011967617	2.244815376833586	3.506684492216633	407	328	0.991621	1.0	1851	3065	0.044468	0.0036969999999999	0	0	0	1	0	0	-0.9700339141668036	-0.970285	-0.3317666636682558	7.03759805247498	1
P0A7M9	P0AFJ5	3338	4116	1e-06	1e-06	7.274492725980117e-08	1.432772739100391	1.329140461215933	1.0779693951906728	1.4327727391003913	407	854	0.991621	0.99895	1851	2193	0.044468	0.002947	0	0	0	0	0	0	-0.9999989915501992	-0.9999989989488964	-0.9999775119186832	-0.999660671869698	1
P0A7M9	P11454	1635	1240	0.32979	0.32979	4.925438708825795e-07	9.701067244059429	2.7127139364303177	3.5761482675261886	9.701067244059429	407	848	0.991621	0.992552	1851	2234	0.044468	0.016471	0	0	1	1	0	1	-0.6674233401672615	-0.6677352924582288	6.416344337501124	19.022463724121184	1
P0A7M9	P12996	2961	3070	0.000686	0.000686	1.0993478448714655e-07	2.1652583654324578	1.4983119513841998	1.4451318788668188	2.165258365432458	407	936	0.991621	0.97791	1851	2456	0.044468	0.011217	0	0	0	0	0	0	-0.9993082034365952	-0.9992985039523063	-0.9845731762166052	-0.9388428278505838	1
P0A7Q1	P0A7B1	3827	2877	1e-05	1e-05	9.076894366007974e-08	1.78777095437372	1.1593521421107629	1.5420430854760252	1.78777095437372	587	305	0.99641	0.995496	1901	1653	0.005096	0.026527	0	0	0	0	0	0	-0.9999899639706546	-0.999989954756222	-0.9980376766091053	-0.999623025596562	1
P0A7Q1	P63228	1807	1992	0.002441	0.002441	2.775199925402626e-07	5.465990479954176	2.454646017699115	2.226793778223783	5.465990479954175	587	373	0.99641	0.999416	1901	1708	0.005096	0.0047539999999999	0	0	0	0	0	0	-0.9975502052368	-0.9975575736229958	-0.5209968602825745	-0.4865376525031551	1
P0A7R5	Q46948	2747	3523	0.001486	0.001486	1.0326362625506613e-07	2.0338642735940864	1.6149927219796216	1.2593643586833143	2.0338642735940864	1015	498	0.983534	0.977173	2624	1928	0.038168	0.035511	0	0	0	0	0	0	-0.9984891218808908	-0.9984792866769752	-0.9610668622930204	-0.9581538114950297	1
P0A7R9	Q46948	3410	2330	8.3e-05	8.3e-05	1.2576969481103166e-07	2.477140288925689	1.3010847258868368	1.903903903903904	2.477140288925689	434	498	0.997566	0.977173	1784	1928	0.004716	0.035511	0	0	0	0	0	0	-0.9999167974850788	-0.9999150610997232	-0.9824003392705684	-0.9976626960660078	1
P0A7S3	Q46948	1300	1734	0.350944	0.350944	4.4301988937793363e-07	8.725650630085036	3.411222136817832	2.557925072046109	8.725650630085036	772	498	0.967744	0.977173	2390	1928	0.043882	0.035511	0	0	1	1	0	1	-0.6373586403015673	-0.6408578624255888	6.997447700651748	8.882684238686602	1
P0A7U3	Q46948	120	1364	0.999762	0.999762	6.054551509096964e-06	119.24950201313835	36.67768595041322	3.251282051282052	119.24950201313838	2568	498	0.953424	0.977173	4047	1928	0.005811	0.035511	1	1	1	1	1	1	0.0486016714494286	0.023116684558415	171.04646360351057	27.15358621272282	1
P0A7V0	Q46948	2487	2002	0.004021	0.004021	2.00663634772921e-07	3.952239646960427	1.7837620578778135	2.215676485272092	3.952239646960427	531	498	0.992649	0.977173	1874	1928	0.008378	0.035511	0	0	0	0	0	0	-0.9959492227363348	-0.9958850684576837	-0.5200525185008354	-0.8867674804990004	1
P0A7W1	P0ADZ0	1697	3050	0.021285	0.021285	1.9302790913326998e-07	3.80184758593506	2.613663133097762	1.4546050475254015	3.80184758593506	1578	410	0.97988	0.999446	3092	1761	0.017032	0.015257	0	0	1	1	0	0	-0.978277952402335	-0.978703201573672	0.249706434945984	0.3950973323720259	1
P0A7W7	P0A7W7	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	561	561	0.998508	0.998508	1870	1870	0.005275	0.005275	1	1	1	1	1	1	0.0014942293902503	0.0014942293902503	188.57345971563976	188.57345971563976	1
P0A776	P76344	2205	1835	0.130868	0.130868	2.4690041222492826e-07	4.86291200271788	2.011786038077969	2.417211328976035	4.86291200271788	833	1022	0.989383	0.981026	2231	2614	0.014988	0.017436	0	0	1	1	0	1	-0.8677276646152198	-0.8666008851957033	7.731518548171872	6.505620555173205	1
