Protein_A	Protein_B	Rank_A_in_B	Rank_B_in_A	Score_A_in_B	Score_B_in_A	NaRRO	ARRO	NoRRO_A	NoRRO_B	NoRRO	Rank_LocalCutoff_A_elbow	Rank_LocalCutoff_B_elbow	Score_LocalCutoff_A_elbow	Score_LocalCutoff_B_elbow	Rank_LocalCutoff_A_knee	Rank_LocalCutoff_B_knee	Score_LocalCutoff_A_knee	Score_LocalCutoff_B_knee	Rank_AB_AboveLocal_A_elbow	Rank_BA_AboveLocal_B_elbow	Rank_AB_AboveLocal_A_knee	Rank_BA_AboveLocal_B_knee	Above_Global_Mean	Above_Global_Median	FD_A_elbow	FD_B_elbow	FD_A_knee	FD_B_knee	label
P00350	P00350	0	0	0.9698085	0.9698085	1.0	19695844.0	4438.0	4438.0	19695844.0	696	696	0.5313956999999999	0.5313956999999999	4264	4264	0.07999386	0.07999386	1	1	1	1	1	1	0.8250213541434379	0.8250213541434379	11.12353673144414	11.12353673144414	1
P0A725	P14900	1715	295	0.5467420999999999	0.5467420999999999	1.9687519687519687e-06	38.77623165123165	2.586247086247086	14.993243243243244	38.77623165123165	926	2456	0.22755079	0.40943575	4437	3163	0.007071635	0.26559103	1	1	1	1	1	1	1.402725562939157	0.3353550587607455	76.31480767884653	1.058586466568543	1
P0A7C2	P09377	20	477	0.9602993	0.9602993	9.962143853357244e-05	1962.128312412831	211.33333333333331	9.284518828451882	1962.128312412831	2559	1479	0.81519073	0.32672328	3880	4224	0.19589186	0.24645856	1	1	1	1	1	1	0.1780056674589517	1.93918235639652	3.902190933303712	2.896392561897627	1
P0A7C2	P0A7C2	0	0	0.9998698	0.9998698	1.0	19695844.0	4438.0	4438.0	19695844.0	2559	2559	0.81519073	0.81519073	3880	3880	0.19589186	0.19589186	1	1	1	1	1	1	0.2265470683161474	0.2265470683161474	4.104192690803997	4.104192690803997	1
P0A7C2	P0A9E0	89	1107	0.92260015	0.92260015	1.002807862013638e-05	197.51147212194144	49.31111111111111	4.005415162454874	197.51147212194144	2559	1505	0.81519073	0.67140746	3880	2269	0.19589186	0.5203899000000001	1	1	1	1	1	1	0.1317598643448754	0.3741285358968159	3.709742150592679	0.7729017223431889	1
P0A7C2	P76161	433	2799	0.7812694	0.7812694	8.229098090849243e-07	16.207903225806454	10.225806451612902	1.5850000000000002	16.20790322580645	2559	1985	0.81519073	0.094360076	3880	4437	0.19589186	0.0031548927	0	1	1	1	1	1	-0.0416115256855288	7.279660563223794	2.9882688336309635	246.6373919151038	1
P0A7C2	P77396	1386	2626	0.8077803000000001	0.8077803000000001	2.744501459937552e-07	5.405527261270226	3.19971160778659	1.689379520365436	5.405527261270228	2559	243	0.81519073	0.93104166	3880	2623	0.19589186	0.6276126	0	0	1	1	1	1	-0.0090904247647662	-0.1323908105250627	3.123603196171602	0.2870683284561211	1
P0A7J0	P0A7J0	0	0	0.98709923	0.98709923	1.0	19695844.0	4438.0	4438.0	19695844.0	3679	3679	0.21587963	0.21587963	4358	4358	0.036951434	0.036951434	1	1	1	1	1	1	3.572451926103449	3.572451926103449	25.71342146017933	25.71342146017933	1
P0A7M2	P0A7N4	2271	3130	0.18163677	0.18163677	1.4057516610361626e-07	2.768746541850914	1.9533450704225352	1.4174385180453528	2.7687465418509136	1383	600	0.33005846	0.27553713	4203	4275	0.102474354	0.10503524	0	0	1	1	0	0	-0.4496830349387196	-0.3407902230817313	0.772509539313612	0.729293616123503	1
P0A7M9	P09153	217	91	0.9471088	0.9471088	4.9860390905464696e-05	982.0424810530516	20.357798165137616	48.23913043478261	982.0424810530516	2877	223	0.65170485	0.9458073	4263	2594	0.11519002	0.63123024	1	1	1	1	1	1	0.4532787349979058	0.0013760731176424	7.222142855778651	0.5004173437571684	1
