Protein_A	Protein_B	Rank_A_in_B_x	Rank_B_in_A_x	Score_A_in_B_x	Score_B_in_A_x	NaRRO_x	ARRO_x	NoRRO_A_x	NoRRO_B_x	NoRRO_x	Rank_LocalCutoff_A_elbow_x	Rank_LocalCutoff_B_elbow_x	Score_LocalCutoff_A_elbow_x	Score_LocalCutoff_B_elbow_x	Rank_LocalCutoff_A_knee_x	Rank_LocalCutoff_B_knee_x	Score_LocalCutoff_A_knee_x	Score_LocalCutoff_B_knee_x	Rank_AB_AboveLocal_A_elbow_x	Rank_BA_AboveLocal_B_elbow_x	Rank_AB_AboveLocal_A_knee_x	Rank_BA_AboveLocal_B_knee_x	Above_Global_Mean_x	Above_Global_Median_x	FD_A_elbow_x	FD_B_elbow_x	FD_A_knee_x	FD_B_knee_x	Rank_A_in_B_y	Rank_B_in_A_y	Score_A_in_B_y	Score_B_in_A_y	NaRRO_y	ARRO_y	NoRRO_A_y	NoRRO_B_y	NoRRO_y	Rank_LocalCutoff_A_elbow_y	Rank_LocalCutoff_B_elbow_y	Score_LocalCutoff_A_elbow_y	Score_LocalCutoff_B_elbow_y	Rank_LocalCutoff_A_knee_y	Rank_LocalCutoff_B_knee_y	Score_LocalCutoff_A_knee_y	Score_LocalCutoff_B_knee_y	Rank_AB_AboveLocal_A_elbow_y	Rank_BA_AboveLocal_B_elbow_y	Rank_AB_AboveLocal_A_knee_y	Rank_BA_AboveLocal_B_knee_y	Above_Global_Mean_y	Above_Global_Median_y	FD_A_elbow_y	FD_B_elbow_y	FD_A_knee_y	FD_B_knee_y	Rank_A_in_B_x	Rank_B_in_A_x	Score_A_in_B_x	Score_B_in_A_x	NaRRO_x	ARRO_x	NoRRO_A_x	NoRRO_B_x	NoRRO_x	Rank_LocalCutoff_A_elbow_x	Rank_LocalCutoff_B_elbow_x	Score_LocalCutoff_A_elbow_x	Score_LocalCutoff_B_elbow_x	Rank_LocalCutoff_A_knee_x	Rank_LocalCutoff_B_knee_x	Score_LocalCutoff_A_knee_x	Score_LocalCutoff_B_knee_x	Rank_AB_AboveLocal_A_elbow_x	Rank_BA_AboveLocal_B_elbow_x	Rank_AB_AboveLocal_A_knee_x	Rank_BA_AboveLocal_B_knee_x	Above_Global_Mean_x	Above_Global_Median_x	FD_A_elbow_x	FD_B_elbow_x	FD_A_knee_x	FD_B_knee_x	Rank_A_in_B_y	Rank_B_in_A_y	Score_A_in_B_y	Score_B_in_A_y	NaRRO_y	ARRO_y	NoRRO_A_y	NoRRO_B_y	NoRRO_y	Rank_LocalCutoff_A_elbow_y	Rank_LocalCutoff_B_elbow_y	Score_LocalCutoff_A_elbow_y	Score_LocalCutoff_B_elbow_y	Rank_LocalCutoff_A_knee_y	Rank_LocalCutoff_B_knee_y	Score_LocalCutoff_A_knee_y	Score_LocalCutoff_B_knee_y	Rank_AB_AboveLocal_A_elbow_y	Rank_BA_AboveLocal_B_elbow_y	Rank_AB_AboveLocal_A_knee_y	Rank_BA_AboveLocal_B_knee_y	Above_Global_Mean_y	Above_Global_Median_y	FD_A_elbow_y	FD_B_elbow_y	FD_A_knee_y	FD_B_knee_y	label
P00350	P00350	0	0	0.9698085	0.9698085	1.0	19695844.0	4438.0	4438.0	19695844.0	696	696	0.5313956999999999	0.5313956999999999	4264	4264	0.07999386	0.07999386	1	1	1	1	1	1	0.8250213541434379	0.8250213541434379	11.12353673144414	11.12353673144414	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	1397	1397	0.959595	0.959595	2930	2930	0.017541	0.017541	1	1	1	1	1	1	0.0421063052641999	0.0421063052641999	56.009292514679885	56.009292514679885	0	0	0.999443	0.999443	1.0	19412836.0	4406.0	4406.0	19412836.0	1442	1442	0.092291	0.092291	4405	4405	0.0	0.0	1	1	1	1	1	1	9.829257457390211	9.829257457390211	0.0	0.0	0	0	190.27	190.27	1.0	19695844.0	4438.0	4438.0	19695844.0	444	444	0.300654	0.300654	4268	4268	0.0	0.0	1	1	1	1	1	1	631.8537122406487	631.8537122406487	0.0	0.0	1
P0A725	P14900	1715	295	0.5467420999999999	0.5467420999999999	1.9687519687519687e-06	38.77623165123165	2.586247086247086	14.993243243243244	38.77623165123165	926	2456	0.22755079	0.40943575	4437	3163	0.007071635	0.26559103	1	1	1	1	1	1	1.402725562939157	0.3353550587607455	76.31480767884653	1.058586466568543	574	2097	0.995021	0.995021	8.289468230613007e-07	16.326807311310976	7.718260869565217	2.1153479504289803	16.32680731131098	2665	664	0.959063	0.98767	4070	2010	0.000592	0.016811	1	1	1	1	1	1	0.0374928445785105	0.0074427693460365	1679.778716216216	58.188685979418224	676	681	0.776184	0.776184	2.16584292440775e-06	42.045153493288055	6.5081240768094535	6.46041055718475	42.04515349328805	3112	167	0.062255	0.966812	4404	2081	0.0	0.081685	1	0	1	1	1	1	11.46781784595615	-0.1971717355597573	0.0	8.502160739425841	1	0	187.24400000000003	187.24400000000003	0.5	9847922.0	2219.0	4438.0	9847922.0	424	424	0.1486569999999999	0.6846180000000001	4260	4258	0.0	0.0	1	1	1	1	1	1	1258.570689573986	272.5014270732	0.0	0.0	1
P0A7C2	P09377	20	477	0.9602993	0.9602993	9.962143853357244e-05	1962.128312412831	211.33333333333331	9.284518828451882	1962.128312412831	2559	1479	0.81519073	0.32672328	3880	4224	0.19589186	0.24645856	1	1	1	1	1	1	0.1780056674589517	1.93918235639652	3.902190933303712	2.896392561897627	3826	4076	0.0	0.0	6.409155761007452e-08	1.2623373204050408	1.1596550823099032	1.0885454991415255	1.2623373204050403	782	984	0.990217	0.963409	2148	2629	0.018453	0.016565	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	311	1471	0.818856	0.818856	2.177396878483835e-06	42.26944850891861	14.12179487179487	2.9932065217391304	42.26944850891861	2275	1950	0.696771	0.083073	3811	4405	0.040353	0.0	1	1	1	1	1	1	0.1752153864038543	8.857065472536203	19.29232027358561	0.0	2	1	253.582	253.582	0.1666666666666666	3282640.666666666	1479.3333333333333	2219.0	3282640.6666666665	417	422	1.10848	1.15145	4257	4258	0.0	0.0	1	1	1	1	1	1	227.765516743649	219.22840765990705	0.0	0.0	1
P0A7C2	P0A7C2	0	0	0.9998698	0.9998698	1.0	19695844.0	4438.0	4438.0	19695844.0	2559	2559	0.81519073	0.81519073	3880	3880	0.19589186	0.19589186	1	1	1	1	1	1	0.2265470683161474	0.2265470683161474	4.104192690803997	4.104192690803997	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	782	782	0.990217	0.990217	2148	2148	0.018453	0.018453	1	1	1	1	1	1	0.0098796526417946	0.0098796526417946	53.19173034194981	53.19173034194981	0	0	1.0	1.0	1.0	19412836.0	4406.0	4406.0	19412836.0	2275	2275	0.696771	0.696771	3811	3811	0.040353	0.040353	1	1	1	1	1	1	0.4351917631474329	0.4351917631474329	23.78130498352043	23.78130498352043	0	0	258.68	258.68	1.0	19695844.0	4438.0	4438.0	19695844.0	417	417	1.10848	1.10848	4257	4257	0.0	0.0	1	1	1	1	1	1	232.36460739030028	232.36460739030028	0.0	0.0	1
P0A7C2	P0A9E0	89	1107	0.92260015	0.92260015	1.002807862013638e-05	197.51147212194144	49.31111111111111	4.005415162454874	197.51147212194144	2559	1505	0.81519073	0.67140746	3880	2269	0.19589186	0.5203899000000001	1	1	1	1	1	1	0.1317598643448754	0.3741285358968159	3.709742150592679	0.7729017223431889	3868	3697	2e-06	2e-06	6.989310967165475e-08	1.376603784767803	1.1470664254329284	1.200108166576528	1.3766037847678032	782	698	0.990217	0.990743	2148	2067	0.018453	0.031568	0	0	0	0	0	0	-0.9999979802406948	-0.9999979813130146	-0.999891616539316	-0.9999366447034972	208	377	0.926788	0.926788	1.26579073947495e-05	245.7258803574593	21.081339712918663	11.656084656084657	245.72588035745932	2275	2645	0.696771	0.054998	3811	4405	0.040353	0.0	1	1	1	1	1	1	0.3301185037838829	15.851303683770317	21.96701608306693	0.0	7	4	199.058	199.058	0.025	492396.1	554.75	887.6	492396.1	417	420	1.10848	1.6242299999999998	4257	4259	0.0	0.0	1	1	1	1	1	1	178.57743937644344	121.55530312825154	0.0	0.0	1
P0A7C2	P76161	433	2799	0.7812694	0.7812694	8.229098090849243e-07	16.207903225806454	10.225806451612902	1.5850000000000002	16.20790322580645	2559	1985	0.81519073	0.094360076	3880	4437	0.19589186	0.0031548927	0	1	1	1	1	1	-0.0416115256855288	7.279660563223794	2.9882688336309635	246.6373919151038	3660	4294	0.0	0.0	6.35970693198516e-08	1.2525979561809832	1.212237093690249	1.0332945285215367	1.2525979561809837	782	795	0.990217	0.996222	2148	2132	0.018453	0.010451	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	832	1859	0.774568	0.774568	6.45419458105823e-07	12.529422091417212	5.289315726290517	2.368817204301075	12.529422091417212	2275	1329	0.696771	0.669139	3811	3395	0.040353	0.048489	1	1	1	1	1	1	0.1116536135975808	0.1575591917374416	18.194805838475457	14.974097217925715	1	6	176.93	176.93	0.0714285714285714	1406846.0	2219.0	634.0	1406846.0	417	415	1.10848	0.0956592	4257	4256	0.0	0.0	1	1	1	1	1	1	158.61496824480372	1848.5868667101545	0.0	0.0	1
P0A7C2	P77396	1386	2626	0.8077803000000001	0.8077803000000001	2.744501459937552e-07	5.405527261270226	3.19971160778659	1.689379520365436	5.405527261270228	2559	243	0.81519073	0.93104166	3880	2623	0.19589186	0.6276126	0	0	1	1	1	1	-0.0090904247647662	-0.1323908105250627	3.123603196171602	0.2870683284561211	3640	3687	2e-06	2e-06	7.447120972820392e-08	1.4667733292979868	1.21889590771766	1.203362255965293	1.466773329297987	782	1086	0.990217	0.992299	2148	2610	0.018453	0.00655	0	0	0	0	0	0	-0.9999979802406948	-0.9999979844784688	-0.999891616539316	-0.9996946564885496	62	211	0.956353	0.956353	7.487271638215035e-05	1453.491764001198	69.93650793650794	20.78301886792453	1453.491764001198	2275	1720	0.696771	0.076384	3811	4405	0.040353	0.0	1	1	1	1	1	1	0.372549948261337	11.520331483033097	22.69967536490472	0.0	5	2	213.926	213.926	0.0555555555555555	1094213.5555555555	739.6666666666666	1479.3333333333333	1094213.5555555555	417	421	1.10848	1.33631	4257	4259	0.0	0.0	1	1	1	1	1	1	191.99040127020788	159.08710553688888	0.0	0.0	1
P0A7J0	P0A7J0	0	0	0.98709923	0.98709923	1.0	19695844.0	4438.0	4438.0	19695844.0	3679	3679	0.21587963	0.21587963	4358	4358	0.036951434	0.036951434	1	1	1	1	1	1	3.572451926103449	3.572451926103449	25.71342146017933	25.71342146017933	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	1660	1660	0.977573	0.977573	3210	3210	0.010381	0.010381	1	1	1	1	1	1	0.0229415092274439	0.0229415092274439	95.32983334938832	95.32983334938832	0	0	1.0	1.0	1.0	19412836.0	4406.0	4406.0	19412836.0	2294	2294	0.622419	0.622419	3791	3791	0.022778	0.022778	1	1	1	1	1	1	0.606634758900355	0.606634758900355	42.902010712090615	42.902010712090615	0	0	170.554	170.554	1.0	19695844.0	4438.0	4438.0	19695844.0	416	416	0.0586228	0.0586228	4256	4256	0.0	0.0	1	1	1	1	1	1	2908.3458517846293	2908.3458517846293	0.0	0.0	1
P0A7M2	P0A7N4	2271	3130	0.18163677	0.18163677	1.4057516610361626e-07	2.768746541850914	1.9533450704225352	1.4174385180453528	2.7687465418509136	1383	600	0.33005846	0.27553713	4203	4275	0.102474354	0.10503524	0	0	1	1	0	0	-0.4496830349387196	-0.3407902230817313	0.772509539313612	0.729293616123503	1840	1289	0.042957	0.042957	4.210721338672528e-07	8.293371061396527	2.4106463878327	3.44031007751938	8.293371061396527	253	225	0.998926	0.976051	1430	1680	0.02143	0.072487	0	0	1	0	0	1	-0.9569968145788575	-0.9559889800840324	1.0045263649090062	-0.4073833928842412	1742	2243	0.160874	0.160874	2.5566999344462135e-07	4.96327965286151	2.527825588066552	1.9634581105169335	4.963279652861509	2641	2073	0.03717	0.0593669999999999	4405	4405	0.0	0.0	1	1	1	1	0	1	3.3280602636534837	1.7098219549581417	0.0	0.0	1	1	103.308	103.308	0.25	4923961.0	2219.0	2219.0	4923961.0	414	405	0.0826513999999999	0.00937458	4256	4252	0.0	0.0	1	1	1	1	1	1	1248.9243811962049	11019.013696613609	0.0	0.0	1
P0A7M9	P09153	217	91	0.9471088	0.9471088	4.9860390905464696e-05	982.0424810530516	20.357798165137616	48.23913043478261	982.0424810530516	2877	223	0.65170485	0.9458073	4263	2594	0.11519002	0.63123024	1	1	1	1	1	1	0.4532787349979058	0.0013760731176424	7.222142855778651	0.5004173437571684	1013	502	0.978798	0.978798	1.9606228506672e-06	38.61612180957646	4.376725838264299	8.823061630218687	38.616121809576455	407	885	0.991621	0.992194	1851	2360	0.044468	0.021187	0	0	1	1	1	1	-0.0129313517967045	-0.0135013918648974	21.011289016821085	45.198045971586346	1133	53	0.94353	0.94353	1.633026324384349e-05	317.0167221895617	3.8853615520282174	81.5925925925926	317.0167221895617	2457	2560	0.056657	0.767846	4405	4202	0.0	0.014171	1	1	1	1	1	1	15.653370280812608	0.22880108771811	0.0	65.58175146425798	13	4	139.304	139.304	0.0142857142857142	281369.2	317.0	887.6	281369.2	424	417	1.07395	1.65668	4260	4258	0.0	0.0	1	1	1	1	1	1	128.71181153684995	83.08624477871406	0.0	0.0	1
