Protein_A	Protein_B	Rank_A_in_B	Rank_B_in_A	Score_A_in_B	Score_B_in_A	NaRRO	ARRO	NoRRO_A	NoRRO_B	NoRRO	Rank_LocalCutoff_A_elbow	Rank_LocalCutoff_B_elbow	Score_LocalCutoff_A_elbow	Score_LocalCutoff_B_elbow	Rank_LocalCutoff_A_knee	Rank_LocalCutoff_B_knee	Score_LocalCutoff_A_knee	Score_LocalCutoff_B_knee	Rank_AB_AboveLocal_A_elbow	Rank_BA_AboveLocal_B_elbow	Rank_AB_AboveLocal_A_knee	Rank_BA_AboveLocal_B_knee	Above_Global_Mean	Above_Global_Median	FD_A_elbow	FD_B_elbow	FD_A_knee	FD_B_knee	label
P00350	P00350	0	0	0.999443	0.999443	1.0	19412836.0	4406.0	4406.0	19412836.0	1442	1442	0.092291	0.092291	4405	4405	0.0	0.0	1	1	1	1	1	1	9.829257457390211	9.829257457390211	0.0	0.0	1
P0A6Z6	P45577	605	229	0.956256	0.956256	7.174630506528914e-06	139.27992538384274	7.27062706270627	19.156521739130437	139.2799253838427	2165	1735	0.6222310000000001	0.789872	3724	3530	0.048721	0.030166	1	1	1	1	1	1	0.5368183198844156	0.2106467883403893	18.62718335009544	30.699794470596032	1
P0A6Y8	P08622	889	1252	0.120244	0.120244	8.967242662553692e-07	17.407961118035818	4.950561797752809	3.516360734237829	17.407961118035814	179	1110	0.9833	0.047829	1507	4405	0.04173	0.0	0	1	1	1	0	0	-0.877713820807485	1.514039599406218	1.8814761562425115	0.0	1
P0A6Y8	P0A6Y8	0	0	1.0	1.0	1.0	19412836.0	4406.0	4406.0	19412836.0	179	179	0.9833	0.9833	1507	1507	0.04173	0.04173	1	1	1	1	1	1	0.0169836265636123	0.0169836265636123	22.963575365444523	22.963575365444523	1
P0A6Y8	P36659	230	536	0.748649	0.748649	8.061460575427057e-06	156.49581207123106	19.073593073593077	8.204841713221601	156.49581207123106	179	1050	0.9833	0.047569	1507	4405	0.04173	0.0	0	1	1	1	1	1	-0.2386362249567781	14.738169816477118	16.940306733764675	0.0	1
P0A6Y8	Q46948	3487	1220	0.132141	0.132141	2.348052806768403e-07	4.558236405713471	1.2631880733944956	3.608517608517608	4.55823640571347	179	1360	0.9833	0.779848	1507	3682	0.04173	0.080414	0	0	1	1	0	0	-0.8656147666022578	-0.8305554415732297	2.166570812365205	0.6432586365558237	1
P0A6Z3	P0A6Z3	0	0	1.0	1.0	1.0	19412836.0	4406.0	4406.0	19412836.0	213	213	0.984332	0.984332	1466	1466	0.041272	0.041272	1	1	1	1	1	1	0.0159173937248814	0.0159173937248814	23.22950184144214	23.22950184144214	1
P0A6Z6	P0AE58	915	887	0.8379049999999999	0.8379049999999999	1.2293953341988277e-06	23.866050001967032	4.810043668122271	4.961711711711712	23.866050001967032	2165	2566	0.6222310000000001	0.654086	3724	4040	0.048721	0.020494	1	1	1	1	1	1	0.346614038837666	0.2810318520806132	16.1980254920876	39.88538108714746	1
P0A6Z6	P0AFT8	1518	2592	0.497896	0.497896	2.538865589155185e-07	4.928658130831298	2.900592495062541	1.6991901272657155	4.928658130831299	2165	902	0.6222310000000001	0.671704	3724	2717	0.048721	0.062045	0	0	1	1	1	1	-0.1998212882353982	-0.2587568333670783	9.219330473512448	7.024756225320331	1
P0A6Z6	P19636	1342	556	0.894797	0.894797	1.336807249773077e-06	25.951219903455783	3.280714817572598	7.910233393177737	25.95121990345578	2165	2378	0.6222310000000001	0.725583	3724	4106	0.048721	0.0193069999999999	1	1	1	1	1	1	0.4380463204179795	0.2332110868088144	17.36573551445988	45.345729528150414	1
