Protein_A	Protein_B	Rank_A_in_B	Rank_B_in_A	Score_A_in_B	Score_B_in_A	NaRRO	ARRO	NoRRO_A	NoRRO_B	NoRRO	Rank_LocalCutoff_A_elbow	Rank_LocalCutoff_B_elbow	Score_LocalCutoff_A_elbow	Score_LocalCutoff_B_elbow	Rank_LocalCutoff_A_knee	Rank_LocalCutoff_B_knee	Score_LocalCutoff_A_knee	Score_LocalCutoff_B_knee	Rank_AB_AboveLocal_A_elbow	Rank_BA_AboveLocal_B_elbow	Rank_AB_AboveLocal_A_knee	Rank_BA_AboveLocal_B_knee	Above_Global_Mean	Above_Global_Median	FD_A_elbow	FD_B_elbow	FD_A_knee	FD_B_knee	label
P00350	P00350	0	0	190.27	190.27	1.0	19695844.0	4438.0	4438.0	19695844.0	444	444	0.300654	0.300654	4268	4268	0.0	0.0	1	1	1	1	1	1	631.8537122406487	631.8537122406487	0.0	0.0	1
P0A7K2	Q46948	56	2	152.225	152.225	0.0058479532163742	115180.37426900586	77.85964912280701	1479.3333333333333	115180.37426900584	428	436	0.367219	6.44851	4262	4271	0.0	0.0	1	1	1	1	1	1	413.5346509848346	22.606228415556465	0.0	0.0	1
P0A7L8	Q46948	60	1	146.529	146.529	0.0081967213114754	161441.34426229508	72.75409836065573	2219.0	161441.34426229508	411	436	0.0717646999999999	6.44851	4254	4271	0.0	0.0	1	1	1	1	1	1	2040.7977083440749	21.72292359010066	0.0	0.0	1
P0A7M2	P0A7N4	1	1	103.308	103.308	0.25	4923961.0	2219.0	2219.0	4923961.0	414	405	0.0826513999999999	0.00937458	4256	4252	0.0	0.0	1	1	1	1	1	1	1248.9243811962049	11019.013696613609	0.0	0.0	1
P0A7M9	P09153	13	4	139.304	139.304	0.0142857142857142	281369.2	317.0	887.6	281369.2	424	417	1.07395	1.65668	4260	4258	0.0	0.0	1	1	1	1	1	1	128.71181153684995	83.08624477871406	0.0	0.0	1
P0A7M9	P0AEI4	2	1	153.904	153.904	0.1666666666666666	3282640.666666666	1479.3333333333333	2219.0	3282640.6666666665	424	423	1.07395	0.404869	4260	4258	0.0	0.0	1	1	1	1	1	1	142.30648540434845	379.1328330892215	0.0	0.0	1
P0A7M9	P0AEJ8	10	6	124.623	124.623	0.0129870129870129	255790.18181818185	403.45454545454544	634.0	255790.1818181818	424	416	1.07395	0.732632	4260	4256	0.0	0.0	1	1	1	1	1	1	115.04171516364822	169.10313499819827	0.0	0.0	1
P0A7M9	P0AFJ5	9	3	147.408	147.408	0.025	492396.1	443.8	1109.5	492396.1	424	419	1.07395	1.70918	4260	4258	0.0	0.0	1	1	1	1	1	1	136.25778667535732	85.24486595911489	0.0	0.0	1
P0A7M9	P11454	1	0	154.629	154.629	0.5	9847922.0	2219.0	4438.0	9847922.0	424	410	1.07395	0.143657	4260	4253	0.0	0.000583992	1	1	1	1	1	1	142.98156338749476	1075.3763687115838	0.0	264778.31204537046	1
P0A7M9	P12996	11	2	148.47299999999998	148.47299999999998	0.0277777777777777	547106.7777777779	369.8333333333333	1479.3333333333333	547106.7777777778	424	416	1.07395	1.22243	4260	4256	0.0	0.0	1	1	1	1	1	1	137.24945295404814	120.45726135647848	0.0	0.0	1
